"Observation station","Year","Month","Day","Time [Local time]","Air temperature mean [°C]"
"Kuopio Savilahti","2024","1","3","00:00","-20.5"
"Kuopio Savilahti","2024","1","3","00:10","-20.5"
"Kuopio Savilahti","2024","1","3","00:20","-20.5"
"Kuopio Savilahti","2024","1","3","00:30","-20.4"
"Kuopio Savilahti","2024","1","3","00:40","-20.4"
"Kuopio Savilahti","2024","1","3","00:50","-20.4"
"Kuopio Savilahti","2024","1","3","01:00","-20.4"
"Kuopio Savilahti","2024","1","3","01:10","-20.3"
"Kuopio Savilahti","2024","1","3","01:20","-20.3"
"Kuopio Savilahti","2024","1","3","01:30","-20.3"
"Kuopio Savilahti","2024","1","3","01:40","-20.3"
"Kuopio Savilahti","2024","1","3","01:50","-20.3"
"Kuopio Savilahti","2024","1","3","02:00","-20.4"
"Kuopio Savilahti","2024","1","3","02:10","-20.6"
"Kuopio Savilahti","2024","1","3","02:20","-20.8"
"Kuopio Savilahti","2024","1","3","02:30","-21.1"
"Kuopio Savilahti","2024","1","3","02:40","-21.3"
"Kuopio Savilahti","2024","1","3","02:50","-21.4"
"Kuopio Savilahti","2024","1","3","03:00","-21.7"
"Kuopio Savilahti","2024","1","3","03:10","-22.1"
"Kuopio Savilahti","2024","1","3","03:20","-22.4"
"Kuopio Savilahti","2024","1","3","03:30","-22.8"
"Kuopio Savilahti","2024","1","3","03:40","-23.2"
"Kuopio Savilahti","2024","1","3","03:50","-23.4"
"Kuopio Savilahti","2024","1","3","04:00","-23.8"
"Kuopio Savilahti","2024","1","3","04:10","-23.8"
"Kuopio Savilahti","2024","1","3","04:20","-24"
"Kuopio Savilahti","2024","1","3","04:30","-24"
"Kuopio Savilahti","2024","1","3","04:40","-24.3"
"Kuopio Savilahti","2024","1","3","04:50","-24.7"
"Kuopio Savilahti","2024","1","3","05:00","-24.7"
"Kuopio Savilahti","2024","1","3","05:10","-24.3"
"Kuopio Savilahti","2024","1","3","05:20","-24.3"
"Kuopio Savilahti","2024","1","3","05:30","-24.3"
"Kuopio Savilahti","2024","1","3","05:40","-23.4"
"Kuopio Savilahti","2024","1","3","05:50","-23.3"
"Kuopio Savilahti","2024","1","3","06:00","-23"
"Kuopio Savilahti","2024","1","3","06:10","-23"
"Kuopio Savilahti","2024","1","3","06:20","-23.2"
"Kuopio Savilahti","2024","1","3","06:30","-23.4"
"Kuopio Savilahti","2024","1","3","06:40","-24.2"
"Kuopio Savilahti","2024","1","3","06:50","-25"
"Kuopio Savilahti","2024","1","3","07:00","-25.4"
"Kuopio Savilahti","2024","1","3","07:10","-24.8"
"Kuopio Savilahti","2024","1","3","07:20","-25.1"
"Kuopio Savilahti","2024","1","3","07:30","-25.5"
"Kuopio Savilahti","2024","1","3","07:40","-25.6"
"Kuopio Savilahti","2024","1","3","07:50","-25.9"
"Kuopio Savilahti","2024","1","3","08:00","-26.2"
"Kuopio Savilahti","2024","1","3","08:10","-26.4"
"Kuopio Savilahti","2024","1","3","08:20","-26.7"
"Kuopio Savilahti","2024","1","3","08:30","-26.8"
"Kuopio Savilahti","2024","1","3","08:40","-26.8"
"Kuopio Savilahti","2024","1","3","08:50","-26.5"
"Kuopio Savilahti","2024","1","3","09:00","-27"
"Kuopio Savilahti","2024","1","3","09:10","-26.8"
"Kuopio Savilahti","2024","1","3","09:20","-26.6"
"Kuopio Savilahti","2024","1","3","09:30","-27.2"
"Kuopio Savilahti","2024","1","3","09:40","-27.3"
"Kuopio Savilahti","2024","1","3","09:50","-27.1"
"Kuopio Savilahti","2024","1","3","10:00","-26"
"Kuopio Savilahti","2024","1","3","10:10","-23.4"
"Kuopio Savilahti","2024","1","3","10:20","-23.7"
"Kuopio Savilahti","2024","1","3","10:30","-24.8"
"Kuopio Savilahti","2024","1","3","10:40","-26.8"
"Kuopio Savilahti","2024","1","3","10:50","-27.7"
"Kuopio Savilahti","2024","1","3","11:00","-27.8"
"Kuopio Savilahti","2024","1","3","11:10","-28.2"
"Kuopio Savilahti","2024","1","3","11:20","-28.3"
"Kuopio Savilahti","2024","1","3","11:30","-28"
"Kuopio Savilahti","2024","1","3","11:40","-27.8"
"Kuopio Savilahti","2024","1","3","11:50","-27.8"
"Kuopio Savilahti","2024","1","3","12:00","-27.5"
"Kuopio Savilahti","2024","1","3","12:10","-27.8"
"Kuopio Savilahti","2024","1","3","12:20","-27.5"
"Kuopio Savilahti","2024","1","3","12:30","-27.4"
"Kuopio Savilahti","2024","1","3","12:40","-27.2"
"Kuopio Savilahti","2024","1","3","12:50","-26.8"
"Kuopio Savilahti","2024","1","3","13:00","-25"
"Kuopio Savilahti","2024","1","3","13:10","-24.1"
"Kuopio Savilahti","2024","1","3","13:20","-24"
"Kuopio Savilahti","2024","1","3","13:30","-23.8"
"Kuopio Savilahti","2024","1","3","13:40","-23.8"
"Kuopio Savilahti","2024","1","3","13:50","-24"
"Kuopio Savilahti","2024","1","3","14:00","-24.6"
"Kuopio Savilahti","2024","1","3","14:10","-24.4"
"Kuopio Savilahti","2024","1","3","14:20","-25.2"
"Kuopio Savilahti","2024","1","3","14:30","-25.8"
"Kuopio Savilahti","2024","1","3","14:40","-26.1"
"Kuopio Savilahti","2024","1","3","14:50","-26"
"Kuopio Savilahti","2024","1","3","15:00","-25.4"
"Kuopio Savilahti","2024","1","3","15:10","-25.2"
"Kuopio Savilahti","2024","1","3","15:20","-24.4"
"Kuopio Savilahti","2024","1","3","15:30","-24.2"
"Kuopio Savilahti","2024","1","3","15:40","-24"
"Kuopio Savilahti","2024","1","3","15:50","-24"
"Kuopio Savilahti","2024","1","3","16:00","-24"
"Kuopio Savilahti","2024","1","3","16:10","-24"
"Kuopio Savilahti","2024","1","3","16:20","-24.5"
"Kuopio Savilahti","2024","1","3","16:30","-25.7"
"Kuopio Savilahti","2024","1","3","16:40","-26.4"
"Kuopio Savilahti","2024","1","3","16:50","-26.7"
"Kuopio Savilahti","2024","1","3","17:00","-26.8"
"Kuopio Savilahti","2024","1","3","17:10","-26.1"
"Kuopio Savilahti","2024","1","3","17:20","-26.2"
"Kuopio Savilahti","2024","1","3","17:30","-26.4"
"Kuopio Savilahti","2024","1","3","17:40","-26.4"
"Kuopio Savilahti","2024","1","3","17:50","-26.1"
"Kuopio Savilahti","2024","1","3","18:00","-26"
"Kuopio Savilahti","2024","1","3","18:10","-25.9"
"Kuopio Savilahti","2024","1","3","18:20","-26.4"
"Kuopio Savilahti","2024","1","3","18:30","-26.7"
"Kuopio Savilahti","2024","1","3","18:40","-26.9"
"Kuopio Savilahti","2024","1","3","18:50","-27.1"
"Kuopio Savilahti","2024","1","3","19:00","-26.4"
"Kuopio Savilahti","2024","1","3","19:10","-25.5"
"Kuopio Savilahti","2024","1","3","19:20","-26.8"
"Kuopio Savilahti","2024","1","3","19:30","-27.6"
"Kuopio Savilahti","2024","1","3","19:40","-28"
"Kuopio Savilahti","2024","1","3","19:50","-28.4"
"Kuopio Savilahti","2024","1","3","20:00","-28.6"
"Kuopio Savilahti","2024","1","3","20:10","-28.8"
"Kuopio Savilahti","2024","1","3","20:20","-28.9"
"Kuopio Savilahti","2024","1","3","20:30","-29.1"
"Kuopio Savilahti","2024","1","3","20:40","-29.3"
"Kuopio Savilahti","2024","1","3","20:50","-29.4"
"Kuopio Savilahti","2024","1","3","21:00","-29.4"
"Kuopio Savilahti","2024","1","3","21:10","-29.2"
"Kuopio Savilahti","2024","1","3","21:20","-29"
"Kuopio Savilahti","2024","1","3","21:30","-28.9"
"Kuopio Savilahti","2024","1","3","21:40","-29"
"Kuopio Savilahti","2024","1","3","21:50","-29.3"
"Kuopio Savilahti","2024","1","3","22:00","-29.5"
"Kuopio Savilahti","2024","1","3","22:10","-29.6"
"Kuopio Savilahti","2024","1","3","22:20","-29.7"
"Kuopio Savilahti","2024","1","3","22:30","-30"
"Kuopio Savilahti","2024","1","3","22:40","-30"
"Kuopio Savilahti","2024","1","3","22:50","-30"
"Kuopio Savilahti","2024","1","3","23:00","-30"
"Kuopio Savilahti","2024","1","3","23:10","-30"
"Kuopio Savilahti","2024","1","3","23:20","-30.1"
"Kuopio Savilahti","2024","1","3","23:30","-30.2"
"Kuopio Savilahti","2024","1","3","23:40","-30.2"
"Kuopio Savilahti","2024","1","3","23:50","-30.2"
"Kuopio Savilahti","2024","1","4","00:00","-30.2"
"Kuopio Savilahti","2024","1","4","00:10","-30.4"
"Kuopio Savilahti","2024","1","4","00:20","-30.5"
"Kuopio Savilahti","2024","1","4","00:30","-30.7"
"Kuopio Savilahti","2024","1","4","00:40","-30.8"
"Kuopio Savilahti","2024","1","4","00:50","-31"
"Kuopio Savilahti","2024","1","4","01:00","-31"
"Kuopio Savilahti","2024","1","4","01:10","-31.1"
"Kuopio Savilahti","2024","1","4","01:20","-31.2"
"Kuopio Savilahti","2024","1","4","01:30","-31.4"
"Kuopio Savilahti","2024","1","4","01:40","-31.4"
"Kuopio Savilahti","2024","1","4","01:50","-31.4"
"Kuopio Savilahti","2024","1","4","02:00","-31.4"
"Kuopio Savilahti","2024","1","4","02:10","-31.4"
"Kuopio Savilahti","2024","1","4","02:20","-31.4"
"Kuopio Savilahti","2024","1","4","02:30","-31.5"
"Kuopio Savilahti","2024","1","4","02:40","-31.4"
"Kuopio Savilahti","2024","1","4","02:50","-31.6"
"Kuopio Savilahti","2024","1","4","03:00","-31.5"
"Kuopio Savilahti","2024","1","4","03:10","-31.6"
"Kuopio Savilahti","2024","1","4","03:20","-31.7"
"Kuopio Savilahti","2024","1","4","03:30","-31.7"
"Kuopio Savilahti","2024","1","4","03:40","-31.8"
"Kuopio Savilahti","2024","1","4","03:50","-31.8"
"Kuopio Savilahti","2024","1","4","04:00","-31.7"
"Kuopio Savilahti","2024","1","4","04:10","-31.7"
"Kuopio Savilahti","2024","1","4","04:20","-31.6"
"Kuopio Savilahti","2024","1","4","04:30","-31.7"
"Kuopio Savilahti","2024","1","4","04:40","-31.8"
"Kuopio Savilahti","2024","1","4","04:50","-31.9"
"Kuopio Savilahti","2024","1","4","05:00","-32"
"Kuopio Savilahti","2024","1","4","05:10","-32"
"Kuopio Savilahti","2024","1","4","05:20","-32.1"
"Kuopio Savilahti","2024","1","4","05:30","-32.2"
"Kuopio Savilahti","2024","1","4","05:40","-32.3"
"Kuopio Savilahti","2024","1","4","05:50","-32.3"
"Kuopio Savilahti","2024","1","4","06:00","-32.4"
"Kuopio Savilahti","2024","1","4","06:10","-32"
"Kuopio Savilahti","2024","1","4","06:20","-31.8"
"Kuopio Savilahti","2024","1","4","06:30","-31.8"
"Kuopio Savilahti","2024","1","4","06:40","-32.3"
"Kuopio Savilahti","2024","1","4","06:50","-32.4"
"Kuopio Savilahti","2024","1","4","07:00","-32.2"
"Kuopio Savilahti","2024","1","4","07:10","-32.4"
"Kuopio Savilahti","2024","1","4","07:20","-32.1"
"Kuopio Savilahti","2024","1","4","07:30","-32.5"
"Kuopio Savilahti","2024","1","4","07:40","-32.7"
"Kuopio Savilahti","2024","1","4","07:50","-32.8"
"Kuopio Savilahti","2024","1","4","08:00","-32.5"
"Kuopio Savilahti","2024","1","4","08:10","-32.3"
"Kuopio Savilahti","2024","1","4","08:20","-32.2"
"Kuopio Savilahti","2024","1","4","08:30","-32.3"
"Kuopio Savilahti","2024","1","4","08:40","-32.3"
"Kuopio Savilahti","2024","1","4","08:50","-32.1"
"Kuopio Savilahti","2024","1","4","09:00","-32.2"
"Kuopio Savilahti","2024","1","4","09:10","-32.4"
"Kuopio Savilahti","2024","1","4","09:20","-32.7"
"Kuopio Savilahti","2024","1","4","09:30","-32.9"
"Kuopio Savilahti","2024","1","4","09:40","-33.1"
"Kuopio Savilahti","2024","1","4","09:50","-32.8"
"Kuopio Savilahti","2024","1","4","10:00","-32.5"
"Kuopio Savilahti","2024","1","4","10:10","-32.3"
"Kuopio Savilahti","2024","1","4","10:20","-32.5"
"Kuopio Savilahti","2024","1","4","10:30","-32.3"
"Kuopio Savilahti","2024","1","4","10:40","-32.1"
"Kuopio Savilahti","2024","1","4","10:50","-32"
"Kuopio Savilahti","2024","1","4","11:00","-31.9"
"Kuopio Savilahti","2024","1","4","11:10","-31.9"
"Kuopio Savilahti","2024","1","4","11:20","-31.9"
"Kuopio Savilahti","2024","1","4","11:30","-31.9"
"Kuopio Savilahti","2024","1","4","11:40","-31.8"
"Kuopio Savilahti","2024","1","4","11:50","-31.5"
"Kuopio Savilahti","2024","1","4","12:00","-31.4"
"Kuopio Savilahti","2024","1","4","12:10","-31.3"
"Kuopio Savilahti","2024","1","4","12:20","-31.4"
"Kuopio Savilahti","2024","1","4","12:30","-31.5"
"Kuopio Savilahti","2024","1","4","12:40","-31.5"
"Kuopio Savilahti","2024","1","4","12:50","-31.4"
"Kuopio Savilahti","2024","1","4","13:00","-31.3"
"Kuopio Savilahti","2024","1","4","13:10","-31.3"
"Kuopio Savilahti","2024","1","4","13:20","-31.3"
"Kuopio Savilahti","2024","1","4","13:30","-31.4"
"Kuopio Savilahti","2024","1","4","13:40","-31.2"
"Kuopio Savilahti","2024","1","4","13:50","-31.2"
"Kuopio Savilahti","2024","1","4","14:00","-31.7"
"Kuopio Savilahti","2024","1","4","14:10","-31.7"
"Kuopio Savilahti","2024","1","4","14:20","-31.8"
"Kuopio Savilahti","2024","1","4","14:30","-31.5"
"Kuopio Savilahti","2024","1","4","14:40","-31.5"
"Kuopio Savilahti","2024","1","4","14:50","-31.4"
"Kuopio Savilahti","2024","1","4","15:00","-31.4"
"Kuopio Savilahti","2024","1","4","15:10","-31.5"
"Kuopio Savilahti","2024","1","4","15:20","-31.6"
"Kuopio Savilahti","2024","1","4","15:30","-31.9"
"Kuopio Savilahti","2024","1","4","15:40","-31.9"
"Kuopio Savilahti","2024","1","4","15:50","-31.9"
"Kuopio Savilahti","2024","1","4","16:00","-31.9"
"Kuopio Savilahti","2024","1","4","16:10","-31.9"
"Kuopio Savilahti","2024","1","4","16:20","-31.8"
"Kuopio Savilahti","2024","1","4","16:30","-31.7"
"Kuopio Savilahti","2024","1","4","16:40","-31.6"
"Kuopio Savilahti","2024","1","4","16:50","-31.9"
"Kuopio Savilahti","2024","1","4","17:00","-32.2"
"Kuopio Savilahti","2024","1","4","17:10","-32.4"
"Kuopio Savilahti","2024","1","4","17:20","-32.1"
"Kuopio Savilahti","2024","1","4","17:30","-32.1"
"Kuopio Savilahti","2024","1","4","17:40","-32.1"
"Kuopio Savilahti","2024","1","4","17:50","-32.5"
"Kuopio Savilahti","2024","1","4","18:00","-32.7"
"Kuopio Savilahti","2024","1","4","18:10","-33"
"Kuopio Savilahti","2024","1","4","18:20","-32.8"
