"Observation station","Year","Month","Day","Time [Local time]","Minimum ground temperature [°C]"
"Kuopio Savilahti","2023","11","1","08:00","-3"
"Kuopio Savilahti","2023","11","2","08:00","-1.8"
"Kuopio Savilahti","2023","11","3","08:00","-4.8"
"Kuopio Savilahti","2023","11","4","08:00","-1"
"Kuopio Savilahti","2023","11","5","08:00","1"
"Kuopio Savilahti","2023","11","6","08:00","1.1"
"Kuopio Savilahti","2023","11","7","08:00","2.2"
"Kuopio Savilahti","2023","11","8","08:00","0.1"
"Kuopio Savilahti","2023","11","9","08:00","0.1"
"Kuopio Savilahti","2023","11","10","08:00","-1.8"
"Kuopio Savilahti","2023","11","11","08:00","-0.5"
"Kuopio Savilahti","2023","11","12","08:00","-2.3"
"Kuopio Savilahti","2023","11","13","08:00","-1.6"
"Kuopio Savilahti","2023","11","14","08:00","-3.3"
"Kuopio Savilahti","2023","11","15","08:00","-4.2"
"Kuopio Savilahti","2023","11","16","08:00","-5.8"
"Kuopio Savilahti","2023","11","17","08:00","-8"
"Kuopio Savilahti","2023","11","18","08:00","-5.7"
"Kuopio Savilahti","2023","11","19","08:00","-4.4"
"Kuopio Savilahti","2023","11","20","08:00","-4.3"
"Kuopio Savilahti","2023","11","21","08:00","-4.7"
