"Observation station","Year","Month","Day","Time [Local time]","Maximum gust speed [m/s]"
"Kuopio Savilahti","2024","1","1","00:00","3.1"
"Kuopio Savilahti","2024","1","1","01:00","2.8"
"Kuopio Savilahti","2024","1","1","02:00","2.7"
"Kuopio Savilahti","2024","1","1","03:00","3.4"
"Kuopio Savilahti","2024","1","1","04:00","3.3"
"Kuopio Savilahti","2024","1","1","05:00","2.9"
"Kuopio Savilahti","2024","1","1","06:00","3.3"
"Kuopio Savilahti","2024","1","1","07:00","5.4"
"Kuopio Savilahti","2024","1","1","08:00","6.1"
"Kuopio Savilahti","2024","1","1","09:00","6.4"
"Kuopio Savilahti","2024","1","1","10:00","6.9"
"Kuopio Savilahti","2024","1","1","11:00","4.7"
"Kuopio Savilahti","2024","1","1","12:00","4.3"
"Kuopio Savilahti","2024","1","1","13:00","3.3"
"Kuopio Savilahti","2024","1","1","14:00","4.9"
"Kuopio Savilahti","2024","1","1","15:00","5.4"
"Kuopio Savilahti","2024","1","1","16:00","5.6"
"Kuopio Savilahti","2024","1","1","17:00","4.6"
"Kuopio Savilahti","2024","1","1","18:00","2.6"
"Kuopio Savilahti","2024","1","1","19:00","2.4"
"Kuopio Savilahti","2024","1","1","20:00","2.5"
"Kuopio Savilahti","2024","1","1","21:00","1.8"
"Kuopio Savilahti","2024","1","1","22:00","1.8"
"Kuopio Savilahti","2024","1","1","23:00","2.4"
"Kuopio Savilahti","2024","1","2","00:00","2.4"
"Kuopio Savilahti","2024","1","2","01:00","2.3"
"Kuopio Savilahti","2024","1","2","02:00","2.8"
"Kuopio Savilahti","2024","1","2","03:00","3.4"
"Kuopio Savilahti","2024","1","2","04:00","4.3"
"Kuopio Savilahti","2024","1","2","05:00","5.8"
"Kuopio Savilahti","2024","1","2","06:00","5.4"
"Kuopio Savilahti","2024","1","2","07:00","4.7"
"Kuopio Savilahti","2024","1","2","08:00","3.2"
"Kuopio Savilahti","2024","1","2","09:00","4"
"Kuopio Savilahti","2024","1","2","10:00","3.7"
"Kuopio Savilahti","2024","1","2","11:00","4.8"
"Kuopio Savilahti","2024","1","2","12:00","4.8"
"Kuopio Savilahti","2024","1","2","13:00","4.1"
"Kuopio Savilahti","2024","1","2","14:00","3.9"
"Kuopio Savilahti","2024","1","2","15:00","3.3"
"Kuopio Savilahti","2024","1","2","16:00","3.2"
"Kuopio Savilahti","2024","1","2","17:00","3.6"
"Kuopio Savilahti","2024","1","2","18:00","3.7"
"Kuopio Savilahti","2024","1","2","19:00","3.7"
"Kuopio Savilahti","2024","1","2","20:00","2.8"
"Kuopio Savilahti","2024","1","2","21:00","3"
"Kuopio Savilahti","2024","1","2","22:00","2.5"
"Kuopio Savilahti","2024","1","2","23:00","2.6"
"Kuopio Savilahti","2024","1","3","00:00","2.8"
"Kuopio Savilahti","2024","1","3","01:00","2.8"
"Kuopio Savilahti","2024","1","3","02:00","1.8"
"Kuopio Savilahti","2024","1","3","03:00","1.9"
"Kuopio Savilahti","2024","1","3","04:00","1.6"
"Kuopio Savilahti","2024","1","3","05:00","2.2"
"Kuopio Savilahti","2024","1","3","06:00","2.9"
"Kuopio Savilahti","2024","1","3","07:00","2.2"
"Kuopio Savilahti","2024","1","3","08:00","2.9"
"Kuopio Savilahti","2024","1","3","09:00","2.5"
"Kuopio Savilahti","2024","1","3","10:00","3"
"Kuopio Savilahti","2024","1","3","11:00","3.1"
"Kuopio Savilahti","2024","1","3","12:00","2.4"
"Kuopio Savilahti","2024","1","3","13:00","3.6"
"Kuopio Savilahti","2024","1","3","14:00","3.1"
"Kuopio Savilahti","2024","1","3","15:00","3.2"
"Kuopio Savilahti","2024","1","3","16:00","2.8"
"Kuopio Savilahti","2024","1","3","17:00","3.4"
"Kuopio Savilahti","2024","1","3","18:00","3.4"
"Kuopio Savilahti","2024","1","3","19:00","2.9"
"Kuopio Savilahti","2024","1","3","20:00","2.7"
"Kuopio Savilahti","2024","1","3","21:00","1.5"
"Kuopio Savilahti","2024","1","3","22:00","1.7"
"Kuopio Savilahti","2024","1","3","23:00","1.7"
"Kuopio Savilahti","2024","1","4","00:00","2.1"
"Kuopio Savilahti","2024","1","4","01:00","1.6"
"Kuopio Savilahti","2024","1","4","02:00","1.7"
"Kuopio Savilahti","2024","1","4","03:00","1.5"
"Kuopio Savilahti","2024","1","4","04:00","1.7"
"Kuopio Savilahti","2024","1","4","05:00","1.6"
"Kuopio Savilahti","2024","1","4","06:00","1.7"
"Kuopio Savilahti","2024","1","4","07:00","1.9"
"Kuopio Savilahti","2024","1","4","08:00","2"
"Kuopio Savilahti","2024","1","4","09:00","2.1"
"Kuopio Savilahti","2024","1","4","10:00","1.9"
"Kuopio Savilahti","2024","1","4","11:00","2.3"
"Kuopio Savilahti","2024","1","4","12:00","3"
"Kuopio Savilahti","2024","1","4","13:00","2.6"
"Kuopio Savilahti","2024","1","4","14:00","1.9"
"Kuopio Savilahti","2024","1","4","15:00","2.1"
"Kuopio Savilahti","2024","1","4","16:00","2.2"
"Kuopio Savilahti","2024","1","4","17:00","2.6"
"Kuopio Savilahti","2024","1","4","18:00","2.4"
"Kuopio Savilahti","2024","1","4","19:00","1.9"
"Kuopio Savilahti","2024","1","4","20:00","1.8"
"Kuopio Savilahti","2024","1","4","21:00","1.9"
"Kuopio Savilahti","2024","1","4","22:00","2"
"Kuopio Savilahti","2024","1","4","23:00","1.8"
