"Observation station","Year","Month","Day","Time [Local time]","Average relative humidity [%]"
"Kuopio Savilahti","2024","2","5","00:00","87"
"Kuopio Savilahti","2024","2","5","01:00","87"
"Kuopio Savilahti","2024","2","5","02:00","88"
"Kuopio Savilahti","2024","2","5","03:00","90"
"Kuopio Savilahti","2024","2","5","04:00","93"
"Kuopio Savilahti","2024","2","5","05:00","94"
"Kuopio Savilahti","2024","2","5","06:00","95"
"Kuopio Savilahti","2024","2","5","07:00","92"
"Kuopio Savilahti","2024","2","5","08:00","89"
"Kuopio Savilahti","2024","2","5","09:00","87"
"Kuopio Savilahti","2024","2","5","10:00","85"
"Kuopio Savilahti","2024","2","5","11:00","84"
"Kuopio Savilahti","2024","2","5","12:00","84"
"Kuopio Savilahti","2024","2","5","13:00","83"
"Kuopio Savilahti","2024","2","5","14:00","82"
"Kuopio Savilahti","2024","2","5","15:00","82"
"Kuopio Savilahti","2024","2","5","16:00","81"
"Kuopio Savilahti","2024","2","5","17:00","81"
"Kuopio Savilahti","2024","2","5","18:00","82"
"Kuopio Savilahti","2024","2","5","19:00","82"
"Kuopio Savilahti","2024","2","5","20:00","83"
"Kuopio Savilahti","2024","2","5","21:00","82"
"Kuopio Savilahti","2024","2","5","22:00","82"
"Kuopio Savilahti","2024","2","5","23:00","82"
"Kuopio Savilahti","2024","2","6","00:00","83"
"Kuopio Savilahti","2024","2","6","01:00","82"
"Kuopio Savilahti","2024","2","6","02:00","82"
"Kuopio Savilahti","2024","2","6","03:00","83"
"Kuopio Savilahti","2024","2","6","04:00","83"
"Kuopio Savilahti","2024","2","6","05:00","87"
"Kuopio Savilahti","2024","2","6","06:00","89"
"Kuopio Savilahti","2024","2","6","07:00","87"
"Kuopio Savilahti","2024","2","6","08:00","85"
"Kuopio Savilahti","2024","2","6","09:00","84"
"Kuopio Savilahti","2024","2","6","10:00","85"
"Kuopio Savilahti","2024","2","6","11:00","85"
"Kuopio Savilahti","2024","2","6","12:00","85"
"Kuopio Savilahti","2024","2","6","13:00","84"
"Kuopio Savilahti","2024","2","6","14:00","83"
"Kuopio Savilahti","2024","2","6","15:00","79"
"Kuopio Savilahti","2024","2","6","16:00","84"
"Kuopio Savilahti","2024","2","6","17:00","87"
"Kuopio Savilahti","2024","2","6","18:00","85"
"Kuopio Savilahti","2024","2","6","19:00","83"
"Kuopio Savilahti","2024","2","6","20:00","84"
"Kuopio Savilahti","2024","2","6","21:00","83"
"Kuopio Savilahti","2024","2","6","22:00","83"
"Kuopio Savilahti","2024","2","6","23:00","81"
"Kuopio Savilahti","2024","2","7","00:00","80"
"Kuopio Savilahti","2024","2","7","01:00","79"
"Kuopio Savilahti","2024","2","7","02:00","79"
"Kuopio Savilahti","2024","2","7","03:00","79"
"Kuopio Savilahti","2024","2","7","04:00","80"
"Kuopio Savilahti","2024","2","7","05:00","81"
"Kuopio Savilahti","2024","2","7","06:00","82"
"Kuopio Savilahti","2024","2","7","07:00","81"
"Kuopio Savilahti","2024","2","7","08:00","82"
"Kuopio Savilahti","2024","2","7","09:00","81"
"Kuopio Savilahti","2024","2","7","10:00","81"
"Kuopio Savilahti","2024","2","7","11:00","81"
"Kuopio Savilahti","2024","2","7","12:00","80"
"Kuopio Savilahti","2024","2","7","13:00","81"
"Kuopio Savilahti","2024","2","7","14:00","81"
"Kuopio Savilahti","2024","2","7","15:00","82"
"Kuopio Savilahti","2024","2","7","16:00","81"
"Kuopio Savilahti","2024","2","7","17:00","81"
"Kuopio Savilahti","2024","2","7","18:00","81"
"Kuopio Savilahti","2024","2","7","19:00","81"
"Kuopio Savilahti","2024","2","7","20:00","79"
"Kuopio Savilahti","2024","2","7","21:00","78"
"Kuopio Savilahti","2024","2","7","22:00","77"
"Kuopio Savilahti","2024","2","7","23:00","77"
"Kuopio Savilahti","2024","2","8","00:00","76"
"Kuopio Savilahti","2024","2","8","01:00","75"
"Kuopio Savilahti","2024","2","8","02:00","75"
"Kuopio Savilahti","2024","2","8","03:00","75"
"Kuopio Savilahti","2024","2","8","04:00","75"
"Kuopio Savilahti","2024","2","8","05:00","75"
"Kuopio Savilahti","2024","2","8","06:00","75"
"Kuopio Savilahti","2024","2","8","07:00","74"
"Kuopio Savilahti","2024","2","8","08:00","74"
"Kuopio Savilahti","2024","2","8","09:00","74"
"Kuopio Savilahti","2024","2","8","10:00","74"
"Kuopio Savilahti","2024","2","8","11:00","74"
"Kuopio Savilahti","2024","2","8","12:00","76"
"Kuopio Savilahti","2024","2","8","13:00","78"
"Kuopio Savilahti","2024","2","8","14:00","79"
"Kuopio Savilahti","2024","2","8","15:00","80"
"Kuopio Savilahti","2024","2","8","16:00","79"
"Kuopio Savilahti","2024","2","8","17:00","78"
"Kuopio Savilahti","2024","2","8","18:00","78"
"Kuopio Savilahti","2024","2","8","19:00","77"
"Kuopio Savilahti","2024","2","8","20:00","76"
"Kuopio Savilahti","2024","2","8","21:00","76"
"Kuopio Savilahti","2024","2","8","22:00","75"
"Kuopio Savilahti","2024","2","8","23:00","75"
